en	hi	pos
denationalize	विराष्ट्रीकरणकरना	VT
denationalization	विराष्ट्रीकरण	N
denatured	विकृत	Adj
dengue	डेंगू	N
deniable	खण्डनीय	Adj
denial	नकारना; परित्याग	N
denigrate	बदनामकरना	VT
denigration	निन्दा	N
denizen	निवासी	N
denominate	नामरखना	VT
denomination	नाम{किसीजातियाप्रकारका}	N
denominational	सांप्रदायिक; पंगत	Adj
denominator	हर	N
denote	बतलाना; सूचित करना	VT
denouement	समाप्ति; निन्दा	N
denounce	दोषीठहराना; केबारेमेंसूचितकरना{अधिकारियोंको}; समाप्तकरना	VT
dense	घना; मन्दबुद्धि	Adj
denseness	घनापन	N
density	घनत्व	N
dent	गड्ढा	N
dent	गड्ढाबनाना	VT
dental	दंत्य	Adj
dentifrice	मंजन	N
dentist	दाँतोंकाडाक्टर	N
dentistry	दन्तचिकित्सा	N
denture	दन्तावली	N
denude	निरावृत करना; उघाड़ना	VT
denunciation	निन्दा	N
deny	अस्वीकार करना; बातकाटना; वंचित करना	VT
depart	सेहटना	VT
department	विभाग	N
departure	प्रस्थान	N
depend	भरोसारखना; आश्रित होना	VT
dependence	सहारा	N
dependency	निर्भरता	N
dependant	निर्भर	N
dependent	निर्भर	Adj
depict	चित्रखींचना	VT
deplete	खालीकरना	VT
depletion	कमी	N
deplorable	दयनीय; निन्दनीय	Adj
deplore	निन्दाकरना	VT
deploy	फैलाना	V
deport	देशनिकालादेना	VT
deportation	निर्वासन	N
depose	साक्षीदेना	VI
depose	पदच्युतकरना	VT
deposit	धरोहर	N
deposit	जमाकरना	VT
depository	धरोहरकास्थान	N
deposition	पदच्युति	N
depot	भंडार	N
deprave	भ्रष्टहोना	VT
depravity	भ्रष्टता	N
deprecate	की निन्दा करना	VT
depreciate	मूल्यघटाना	VT
depreciation	मूल्यकान्यूनकरना	N
depress	दबाना; उदास करना; कम करना; मन्द करना	VT
depression	दबाव; उदासी	N
depressive	दबावपूर्ण; हतोत्साहक	Adj
deprivation	वंचन; गरीबी	N
deprive	वंचित करना	VT
deprived	वंचित	Adj
depth	गहराई; मध्य	N
deputation	प्रतिनियुक्ति	N
depute	प्रतिनियुक्तकरना	V
deputize	प्रतिनियुक्तिकरना	VI
deputy	प्रतिनिधि	N
derail	पटरीसेउतारना	VT
derailment	पटरीसेउतरना	N
derange	गड़बड़करना	VT
deranged	पागल	Adj
deregulate	नियमहटाना	VT
deregulation	?	N
derelict	परित्यक्त	Adj
dereliction	लापरवाही; परित्याग	N
deride	उपहास करना	VT
derision	ठट्ठा	N
derisive	उपहासपूर्ण	Adj
derivation	व्युत्पत्ति	N
derivative	व्युत्पादित	Adj
derive	प्राप्तकरना; उत्पन्नहोना	VT
dermatitis	त्वचाशोथ	N
dermatology	त्वचाविज्ञान	N
dermatologist	त्वचाविशेषज्ञ	N
derogate	अप्रतिष्ठाकरना	V
derogatory	अपमानजनक	Adj
descend	उतरना	VT
be_descended_from	का_वंशज_होना	V
descend_upon	अचानक_आना	V
descendant	सन्तान	N
descent	उतार	N
describe	वर्णनकरना; बुलाना; चित्रखींचना	VT
description	वर्णन; प्रकार	N
descriptive	वर्णनात्मक	Adj
desecrate	भ्रष्टकरना	VT
desecration	भ्रष्टकरना	N
desegregate	वर्णभेददूरकरना	V
desegregation	वर्णभेददूरीकरण	N
desert	रेगिस्तान	N
desert	वीरानहोजाना; छोड़देना	V
deserted	वीराना; परित्यक्त	Adj
deserter	भगोड़ा	N
desertion	त्याग	N
deserve	योग्यहोना	VT
deservedly	उचितरीतसे	Adv
deserving	योग्य	Adj
design	रूप; रचना; नमूना; योजनाबद्ध	N
design	रूपाकारदेना; योजनाबनाना	V
designate	पदनामित	Adj
designate	निर्दिष्टकरना	VT
designation	पदवी	N
designer	रूपबनानेवाला	N
designing	चालाक	Adj
desirable	वांछित	Adj
desire	इच्छा; इच्छित	N
desire	चाहना	VT
desirous	इच्छाकरनेवाला	Adj
desist	रोकलगाना	N
desist	रुकजाना	VT
desk	डेस्क	N
desolate	उजाड़; अकेला	Adj
desolate	उजाड़ना; अकेलामहसूसकरना	VT
desolation	उजड़ापन	N
despair	निराशा	N
despair	निराशहोना	VT
desperate	निराश; निराशोन्मत्त	Adj
desperation	निराशा	N
despicable	घृणित	Adj
despise	घृणाकरना	VT
despite	बैर	N
despite	होनेपरभी	Prep
despondent	आशाहीन	Adj
despot	शक्तिशाली; क्रूरराजा	N
despotic	क्रूरराजाकीतरह	Adj
despotism	निरंकुशशक्ति	N
dessert	डेज़र्ट	N
destination	गन्तव्य; अभिप्राय	N
destined	नियतवाला	Adj
destined_for	कागन्तव्य	V
destiny	नियत	N
destitute	निस्सहाय	Adj
destitute_of	सेरहित	N
destroy	नष्टकरना; मार डालना	VT
destroyer	ध्वंसक	N
destruct	तोड़फोड़करना	VT
destruction	तोड़फोड़	N
destructive	हानिकारक	Adj
detach	पृथककरना; भेज देना	VT
detached	अलग_[हुआ]	Adj
detachment	तटस्थता; पृथक्करण	N
detail	व्यौरा; टुकड़ी तैनात करना	N
detail	व्यौरेवारवर्णनकरना	VT
detailed	व्यौरेवार	Adj
detain	रोकरखना	VT
detect	देखपाना	VT
detection	खोज	N
detective	जासूसी	Adj
detective	जासूस	N
deter	रोकना	VT
detergent	डिटर्जन	N
deteriorate	बिगड़ना	VT
deterioration	बिगाड़	N
determinant	निश्चयसाधन	N
determination	निश्चय{निर्धारण}	N
determine	निर्धारणकरना; निश्चयकरना	VT
determined	दृढ़	Adj
determiner	संज्ञाकेपहलेआनेवाला	N
determinism	{दर्शनशास्त्रमें}मतजोकहताहैकिमनुष्यकाव्यवहारया	N
deterrent	डराकररोकनेवाला	N
detest	घृणाकरना	VT
detestable	घृणाकेयोग्य	Adj
detestation	अतिशयघृणा	N
dethrone	गद्दीपरसेउतारना	VT
detonate	धमाकाकरना; होना	V
detonation	धमाका	N
detonator	बमआदिबनानेकाउपकरण	N
detour	कहींजानेकेलिएलंबापथ	N
detract	कलंकितहोना	V
detractor	आलोचनाकरकेकलंकितकरनेवाला	N
detrimental	हानिकारक	Adj
detritus	पत्थरसेबनाहुआरेतआदि	N
de trop	अनचाहा	Adj
deuce	{टेनिसकेखेलमें}बराबरीकेअंक	N
deutschmark	जर्मनीकीमुद्रा	N
devalue	मूल्यकमकरना	V
devastate	उजाड़ना	VT
devastation	नाश	N
devastating	उजाड़नेवाला	Adj
develop	विकसितकरना	VT
developed	विकसित	Adj
developing	विकासशील	Adj
development	विकास	N
deviate	मार्गसेअलगहोना	VT
deviation	लीकसेहटना; उल्लंघन	N
device	उपकरण; लेखनशैली	N
devil	शैतान	N
devil	मसालेएवंतरलपदार्थोंसेखानापकाना	V
devilish	शैतानजैसा	Adj
devious	चालाक; चतुर	Adj
deviously	चालाकीसे	Adv
deviousness	चालाकी; चतुरता	N
devise	योजनाबनाना	V
devoid	रहित	Adj
devolution	राज्योंकोकेन्द्रद्वारादियागयाअधिकार	N
devote	समर्पित करना; वफादार	VT
devoted	वफादार	Adj
devotion	प्राणार्पण	N
devotee	भक्त	N
devotional	धार्मिक	Adj
devour	खाजाना; जल्दी-जल्दीऔरसूक्ष्मतासेपढ़ना; बर्बादकरना	VT
devout	भक्तिमय	Adj
dew	ओस	N
dexterity	निपुणता	N
dexterous	निपुण	Adj
diabetes	मधुमेहरोग	N
diabetic	मधुमेहसंबंधी	Adj
diabolical	अप्रिय	Adj
diagnose	लक्षणदेखकर{रोग}निर्णयकरना	VT
diagnosis	रोगकीपहचान	N
diagonal	कर्णरेखा	N
diagram	चित्र	N
dial	डायल	N
dialect	देशीभाषा	N
dialogue	बातचीत	N
diameter	व्यास; मोटाई	N
diametrically	पूर्णरूपसे	Adv
diamond	हीरा	N
diaper	कामदानी; बच्चोंकीचड्डी	N
diarrhea	दस्त	N
diary	दैनिकवृत्तकीपुस्तिका	N
diatribe	कठोरसमालोचना	N
dice	पाँसा	N
dichotomy	किसीदोभिन्नपदार्थयासमूहकेविभाग	N
dictate	आज्ञा	N
dictate	आज्ञादेना	VT
dictation	श्रुतलेख	N
dictator	तानाशाह	N
diction	शब्दोंकाचुनावऔरउनकेबोलनेऔरलिखनेकाढ़ंग	N
dictionary	शब्दकोष	N
dictum	वचन; उक्ति	N
didactic	उपदेशक	Adj
die	मरना	V
die	ठप्पायासाँचा	N
diet	भोजन	N
diesel	डीज़ल	N
differ	भिन्नहोना	VT
difference	भिन्नता	N
different	अलग	Adj
differential	अंतरसंबन्धी	Adj
differentiate	विभेदजानलेना	VT
difficult	कठिन	Adj
difficulty	कठिनता	N
diffuse	फैलाहुआ	Adj
diffuse	फैलाना; छितराना	VT
diffusion	फैलाव	N
dig	खोदाई	N
dig	खोदना	VT
digest	नीतिसंग्रह	N
digest	पचाना	VT
digestion	पचाव	N
digestive	पाचक	Adj
digger	खोदनेवालामनुष्य	N
digit	अंक	N
dignify	प्रतिष्ठितदिखाईदेना	VT
dignitary	उच्चपदवीवाला	N
dignity	बड़प्पन	N
dike	खाईना	VT
dilapidated	जीर्ण-शीर्ण	Adj
dilapidation	जीर्णता	N
dilatory	कार्यकरनेमेंसुस्ती	Adj
dilemma	दुविधा	N
diligence	परिश्रम	N
diligent	परिश्रमी	Adj
dill	सौंफकेपौधेजैसाएकसुगन्धयुक्तपौधा	N
dilute	पानीसेपतलाकरना	VT
dilution	जलमिश्रण	N
dim	धुंधला	Adj
dim	धुंधलाहोना; करना	V
dimension	आयाम	N
diminish	घटाना	V
diminution	टौती.	N
diminutive	अतिछोटा	Adj
diminutive	लघुसंज्ञा	N
din	शोरगुल	N
din	शोरगुलकरना	VT
dine	भोजनकरना	V
ding dong	घण्टीकीआवाज; बहसयाप्रतिस्पर्धा	N
dinghy	छोटीएवंखुलीनाव	N
dingy	कालाऔरगन्दा	Adj
dinner	रातकाभोजन	N
dint	प्रयत्न	N
diocese	धर्मप्रदेश	N
dip	डुबाना; कमहोना; नीचेकोआना	V
dip	डुबाव	N
diphtheria	डिप्थीरिया	N
diploma	डिप्लोमा	N
diplomacy	देशोंकेबीचराजनीतिकसंबन्ध; व्यवहारकुशलता	N
diplomat	राजदूत; व्यवहारकुशल	N
diplomatic	कूटनीतिज्ञ	Adj
direct	सीधा	Adj
directly	सीधेसे	Adv
direct	पथदिखाना	VT
direction	दिशा; निर्देशन	N
director	अध्यक्ष; निर्देशक	N
directorate	निदेशालय	N
directory	डायरेक्टरी	N
dirt	मैल	N
dirty	गन्दा	Adj
disability	असामर्थ्यता	N
disable	बलहीनकरना	V
disadvantage	नुकसान	N
disaffected	असंतुष्ट	Adj
disaffection	असंतोष	N
disagree	असहमत होना	VT
disagreeable	अप्रिय	Adj
disagreement	असहमति	N
disallow	माननेसेइन्कारकरना	VT
disappear	अदृश्यहोना	V
disappearance	ओझल	N
disappoint	निराशकरना; होना	VT
disappointment	आशाभंग	N
disapprobation	असम्मति	N
disapproval	असम्मति	N
disapprove	अस्वीकारकरना	VT
disarm	हथियारछीनलेना	VT
disarmament	निःशस्त्रीकरण	N
disarrange	अस्तव्यस्त कर देना	VT
disarrangement	अव्यवस्था	N
disarray	उलटपलट	N
disaster	भाग्यहीनता; दुर्घटना	N
disastrous	दुर्घटनापूर्ण	Adj
disassemble	खोलना	VT
disavow	अस्वीकार कर देना	VT
disband	सेनाभंगकरना	VT
disbar	बैरिस्टरकोपदच्युतकरना	VT
disbelief	अविश्वास	N
disbelieve	विश्वासनकरना	VT
disburse	इकट्ठाकियाहुआधनसेपैसेदेना	VT
disbursement	व्यय	N
disc	कोईचिपटीगोलवस्तु	N
discard	फेंकदेना	V
discern	देखना; पतालगाना	VT
discharge	छुड़ादेना	VT
disciple	अनुयायी; शिष्य	N
disciplinarian	नियमपालनकरनेवाला	N
disciplinary	अनुशासनिक	Adj
discipline	अनुशासन	N
discipline	अनुशासित करना	VT
disclaim	अस्वीकार करना	VT
disclose	खोलना	VT
disclosure	प्रकटीकरण	N
discolour	रंगउड़ादेना	VT
discomfort	असुविधा	N
disconcert	क्षुब्धकरदेना	VT
disconnect	अलगकरना	VT
discontented	असन्तुष्ट	Adj
discontentment	असन्तोष	N
discontinue	छुड़ाना	VT
discordant	विपरीत	Adj
discount	छूट	N
discount	छूटदेना	VT
discourage	हतोत्साहित करना	VT
discouragement	हतोत्साह	N
discourse	प्रवचन	N
discourse	प्रवचनदेना	VT
discover	खोजना	VT
discovery	खोज	N
discredit	बदनामी	N
discredit	बदनामकरना	VT
discreet	पृथक	Adj
discrepancy	भिन्नता	N
discretion	विवेक	N
discriminate	भेदकरना	VT
discrimination	भेदकरना	N
discuss	चर्चाकरना	VT
discussion	चर्चा	N
disdain	अवहेलना	N
disdain	अवहेलना करना	VT
disdainful	अवहेलनापूर्ण	Adj
disease	बीमारी	N
disembark	जहाजसेउतारना	VT
disenchanted	अमोहक	Adj
disenchantment	मोह दूर होना	N
disengage	अलगकरना	VT
disengagement	छुटकारा	N
disfavour	नपसन्दगी	N
disfavour	अरुचिप्रकटकरना	VT
disfigure	विरूपितकरना	VT
disgorge	भारीमात्रामेंबहाना	VT
disgrace	कलंक	N
disgrace	अपमानकरना	VT
disgraceful	लज्जाप्रद	Adj
disguise	भेष	N
disguise	भेषबदलना	VT
disgust	घृणा	N
disgust	घृणाकरना	VT
dish	थाली; पकवान	N
dish	थालीलगाना	VT
dishearten	मनतोड़ना	VT
dishevel	अस्त व्यस्त कर देना	VT
dishevelled	बिखरे बालों वाला	Adj
dishonest	बेईमान	Adj
dishonesty	बेईमानी	N
dishonour	अपमान	N
dishonour	अपमानित करना	VT
dishonourable	अपमानकारक	Adj
dishonourably	अपमानसे	Adv
disinclined	अनिच्छुक	Adj
disinfectant	रोगाणुओंसेमुक्तकरनेवालाद्रव्य	N
disingenuous	कपटी	Adj
disintegrate	अलगअलगकरना	V
disinterested	स्वार्थरहित	Adj
disjointed	जोड़अलगकरना	Adj
dislike	अरुचि	N
dislike	पसंदनकरना	VT
dislocate	हड्ड़ीकीजोड़हटना; बाधाड़ालना	VT
dislocation	हटाव	N
dislodge	पूर्वस्थानसेहटाना	VT
disloyal	विश्वासघाती	Adj
disloyalty	विश्वासघात	N
dismal	निराशाजनक	Adj
dismantle	विघटित करना	VT
dismay	त्रस्त	N
dismay	निराशकरना	VT
dismember	अंगभंगकरना	VT
dismiss	बरखास्तकरना	VT
dismissal	बरख़ास्तगी	N
disobedience	अवज्ञा	N
disobey	आज्ञानमानना	VT
disorder	अव्यवस्था; विकार; रोग	N
disorderly	अस्त-व्यस्तएवंगन्दा	Adj
disorganize	उलटापुलटाकरना	VT
disown	अंगीकारनकरना	VT
disparage	बुराईकरना	VT
disparity	अन्तर	N
dispassionate	निष्पक्ष	Adj
dispatch	किसीविशेषकार्यहेतुकुछभेजना; सूचनायाख़तआदिशीघ्रभेजना	V
dispel	दूरकरना	VT
dispensable	अनावश्यक	Adj
dispense	बाँटना	VT
disperse	छितराना	VT
dispirit	मनतोड़ना	VT
dispirited	उदासीन	Adj
dispiriting	उदासीन	Adj
displace	अपनीजगहसेहटादेना; दूसरोंकास्थानलेना	V
display	दिखावा	N
display	दिखावाकरना	VT
displease	अप्रसन्नकरना	VT
displeasure	अप्रसन्नता	N
disposable	उपयोगकरकेफैंकनेलायक	Adj
disposal	छुटकारा; {व्यापारमें}जमीन; जायदादआदिकाहिस्साबेचना	N
dispose	ठीकरखना	VT
disposed	कुछकरनेकेलिएतैयार; कोईयाकुछचीजव्यर्थलगना	Adj
disposition	प्रबंध; स्वभाव; प्रकृति	N
dispossess	स्वत्वहरणकरना	VT
disproportionate	असंगति	Adj
disproportionately	असंगतिसे	Adv
disprove	झूठा ठहराना	V
dispute	विवादकरना	VT
dispute	विवाद	N
disqualification	अयोग्यता	N
disqualify	अयोग्यठहराना	VT
disregard	अनादर	N
disregard	तुच्छजानना	VT
disrepair	मरम्मतकीहालत	N
disreputable	अपमान; लज्जाजनक	Adj
disrepute	अप्रतिष्ठा	N
disrespect	अनादर	N
disrespectful	अनादरणीय	Adj
disrespectfully	अनादरणीयतासे	Adv
disrupt	तितर-बितरकरना	VT
disruption	विघटन	N
disruptive	विघटनकारी	Adj
dissatisfaction	असन्तोष	N
dissatisfied	असन्तुष्ट	Adj
dissect	शोधकेलिएलाशयापौधोंकीचीरफाड़करना	VT
dissection	शोधकेलिएलाशयापौधोंकीचीरफाड़	N
disseminate	फैलाना	VT
dissension	मतभेद	N
dissent	असहमति	N
dissent	मतभेदहोना	VT
dissenter	भिन्नमतावलम्बी; इंग्लैंड़केगिरिजाघरकीप्रथाओंकोनमाननेवाला	N
dissertation	शोध निबंध	N
dissimilar	असदृश	Adj
dissimulate	भावनाओयाविचारोंकोछिपाना	V
dissimulation	भावनाओंयाविचारोंकाछिपाव	N
dissipate	दूरकरना; अपव्ययकरना	VT
dissipated	दुर्व्यसनी	Adj
dissociate	अलग करना या हो जाना	VT
dissolution	विलयन	N
dissolve	गलाना; कोईव्यवस्थाकाखत्महोना	VT
dissolute	कामुक	Adj
dissonance	{संगीतमें}बेसुरापन; असंगति	N
dissuade	रोकना	VT
distance	दूरी	N
distance	स्वयंकोकिसीसेदूरकरना	VT
distant	दूर[का]	Adj
distaste	अरुचि	N
distasteful	अरुचिकर; अप्रीतिकर	Adj
distil	स्वच्छकरना	VT
distillation	चुस्त्राव; स्त्रावण	N
distillery	भट्टी; मद्यनिष्कर्षशाला	N
distinct	भिन्न; पृथक; स्पष्ट; सुप्रकाश	Adj
distinction	अन्तर; भेद; पहचान; विशिष्टता; प्रमुखत्व	N
distinctive	विशेष; भेदबतानेवाला; सविशेष; विशेषक	Adj
distinguish	भेदनिकालना; पहचानना; अलगकरना; अपनेकोप्रमुखबनाना	VT
distinguished	प्रसिद्ध; नामी; प्रतिष्ठित; विख्यात; उत्कृष्ट	Adj
distort	ऐंठना; सिकोड़ना; रूपबिगाड़ना	VT
distortion	टेढ़ापन; कुरूपता; विकृति	N
distract	ध्यानखींचना	VT
distraction	ध्यानकाखिंचाव; दूसरीओरलगाव	N
distraught	परेशान	Adj
distribute	बाँटना; वितरणकरना; विभागकरना	VT
distribution	वितरण; बाँट	N
district	जिला; मंडल	N
distrust	अविश्वास; संदेह	N
distrust	अविश्वासकरना; संदेहकरना	VT
distrustful	संदेही; अविश्वासी; संशयात्मक	Adj
disturb	विघ्नडालना; शांतिभंगकरना; घबड़ाना; छेड़ना; सताना	VT
disturbance	उपद्रव; विघ्न; घबराहट	N
disunity	फूट; विभेद	N
ditch	खाईर	N
ditto	वही	N
ditto	सम्मतहोना; एकमतहोना	VT
ditty	गीत; गानेकीकविता	N
dive	डुबकी	N
dive	डुबकीमारना; खोहमेंजाना	VI
diver	पनडुब्बा	N
diverge	अलगअलगहोना[करना]	VI
divergence	विचलन; छितराव; भेद; विरोध	N
diverse	भिन्नभिन्न; नानाप्रकारके	Adj
diversify	भिन्नभिन्नकरना; रंगबिरंगाकरना	VT
diversion	मोड़; फिराव	N
diversity	विभिन्नता; विभेद	N
divert	फेरना	VT
divest	उतारना; उघाड़ना; वंचितकरना; छीनना	VT
divide	फटना; भागकरना; मित्रतातोड़ना; भिन्नमतहोना	V
dividend	लाभांश; भाज्य{गणितमें}	N
divider	भाजक	N
divine	ईश्वरीय; स्वर्गीय; पवित्र; श्रेष्ठ	Adj
divinity	दैवत्व	N
division	बटवारा; भाग{गणितमें}	N
divisional	प्रादेशिक; भागका	Adj
divorce	तलाक; विवाहविच्छेद; पृथकीकरण	N
divorce	तलाकदेना; विवाहविच्छेदकरना; पृथककरना	VT
divulge	प्रकटकरना; खोलदेना	VT
do	करना	VT
docile	अधीन; सीखसकनेयोग्य	Adj
dock	घाट; जहाजगोदाम	N
dock	घाटमेंखड़ाकरना; जहाजगोदाममेंरखना	VI
docket	रजिस्टरमेंलिखना	VI
doctor	डाक्टर; वैद्य; विद्वान	N
doctrine	मत; सिद्धांत	N
document	लेख्यपत्र; दस्तावेज़	N
document	लिखना; लिखितप्रमाणदेना; प्रमाणपत्रदेना	VT
documentary	डॉक्यूमेन्टरी	Adj
dodge	कतराना	VT
doe	हिरणी; मृगी	N
doer	कर्ता	N
dog	कुत्ता	N
dog	पीछेलगना	VT
dogfight	दोहवाईजहाज़ोंकीलड़ाई	N
dogged	हठी	Adj
dogma	सिद्धांत; मत	N
dogmatic	हठी	Adj
doings	करतूत; करणी; कार्य	N
dole	दान; टुकड़ा	N
dole	बाँटना	VT
doll	गुड़िया	N
dollar	डौलर	N
dolphin	डौलफिन	N
domain	क्षेत्र	N
dome	गुंबज	N
domestic	घरेलू; पालतू	Adj
domestic	चाकर; घरकानौकर	N
domesticate	पालतूबनाना	VT
dominant	प्रबल; प्रधान	Adj
dominate	वर्चस्वरखना; शासनकरना	VT
domination	वर्चस्व; प्रधानता; शासन	N
domineer	अत्याचारकरना; कठोरतासेशासनकरना	VT
don	महाशय{स्पेनकीभाषामें}; उपाधि	N
don	पहनना; ग्रहणकरना	VT
donate	दानकरना	VT
donation	दान	N
donkey	गधा	N
donor	दाता	N
doomsday	कयामतकादिन; प्रलयकादिन	N
door	दरवाज़ा	N
dormant	सुशुप्त; सुस्त	Adj
dormitory	शयनगृह	N
dosage	खुराक	N
dose	खुराक	N
doss	सोने के लिए लेटना	V
dosser	बेघर-बार व्यक्ति	N
doss house	रैन बसेरा	N
dossier	फाइल	N
dot	बिन्दु	N
dot	बिन्दु से चिह्नित करना; जगह-जगह फैलाना	V
dotted line	बिन्दुओं की रेखा	N
dotage	वृद्धावस्था की मतिक्षीणता	N
dote on	बेहदप्यारकरना	PhrV
dotty	सठियाया हुआ	Adj
double	दोगुना; दो लोगो अथवा चीजों के लिए बनाया गया	Adj
double act	अभिनेतायुगल	N
double agent	दो दुश्मन देशों का गुप्तचर	N
double-bass	दोहरी गूँज	N
double bill	दोहरा प्रदर्शन	N
double bluff	सचकोझूठजैसाकहना	N
double chin	दोहरी ठुड्डी	N
double cream	मोटीमलाई	N
double dealer	दोहरी चाल चलनेवाला	N
double-dacker	दोहरी छत की गाड़ी	N
double-entendre	दोहरा मतलब	N
double figure	दोहरा अंक	N
double life	दोहरा जीवन	N
double standards	दोहरे मापदण्ड़	N
double-take	धीमी प्रतिक्रिया	N
double talk	दोहरे मतलब वाली बात	N
double time	दुगनी मजदूरी	N
double	दुगनी	Det
double	दोहरा	Adv
double-barrelled	दोनाली	Adj
double-book	दो नामों पर आरक्षितकरना	V
double breasted	एक खास तरह का कोट या पैकेट	Adj
double - check	अच्छी तरह से चैक करना	V
double-cross	धोखा देना	V
double-edged	दोहरी धारवाला	Adj
double glaze	जुडवाँ काँच	N
double jointed	लचीलेजोड़वाला	Adj
double-park	समानान्तर गाड़ी खड़ी करना	V
double-quick	दुगनी गति से	Adj
double	दुगुनीमात्रामें	N
double	दुगना करना[होना]; दोहराहोजाना	V
doublet	कसीहुईजैकेट	N
doubly	दुगुना	Adv
doubt	संदेह	N
doubt	संदेहकरना	V
doubter	सन्देह करने वाला व्यक्ति	N
doubtful	संदिग्ध	Adj
doubtfully	ससन्देह	Adv
doubtless	निसन्देह	Adv
dough	साना हुआ आटा	N
doughnut	डोनट{एकप्रकारकाबिस्कुट}	N
doughty	वीरता से	Adj
douse	भिगोना	V
dove	कबूतर	N
dovecote	कबूतरखाना	N
dovetail	चूल	N
dovetail	चूलबनाना; सही तरह से करना	V
dowdy	भद्दा	Adj
down	उदास; हतोत्साह; खराब	Adv
down	रोवाँ; मुलायमबाल	N
down	केनीचे; केतले	Prep
down	नीचेगिराना	VT
downcast	उदास; नीचेनिगाहकियेहुए	Adj
downfall	पतन	N
downgrade	इज्जतउतारना	V
down-hearted	उत्साहहीन	Adj
downhill	ढ़ालकीओर	Adj
download	कम्प्यूटरमेडेटाट्रांसवरकरना	V
downmarket	कबाड़ीबाजार	Adj
downpour	मूसलाधारवर्षा	N
downright	पूर्णरूपसे; स्पष्टवादी	Adj
down's syndrome	डाउन्ससिन्डरोम	N
downstairs	नीचेकाघर	N
downtrodden	दलित; पददलित	Adj
downturn	व्यापारआदिमेंघाटा	N
downward	नीचेकीओर	Adj
downwind	हवाकेरुखकीतरफ	Adj
dowry	दहेज	N
dowse	खनिजकीखोजकरना	V
doyen	वरिष्ठएवंप्रतिष्ठितसदस्य	N
doze	ऊँघ; झपकी; नींद	N
doze	ऊँघना; झपकीलेना	VI
dozen	दर्जन; बारह	Det
dozen	दर्जन; बारह	N
draft	ड्राफ्ट; हुंडी; मसौदा	N
draft	मसौदाबनाना; लिखना; भर्तीकरना	VT
drag	घसीटना; खींचना	VT
drain	नाली; पतनाला; बहाव	N
drain	बहजाना; निकलजाना; खालीकरना[होना]	VI
drainage	पानीकानिकास; मोरी	N
drake	हंस; बतख{पु.}	N
dram	आयतनकाएकनाप; मदिराकीथोड़ीमात्रा	N
drama	नाटक; स्वांग; नाटकसदृशघटनाएँ	N
dramatic	नाटकीय	Adj
dramatically	नाटकीयढंगसे	Adv
dramatis personae	किसीनाटककेपात्र	N
dramatist	नाटककार	N
dramatize	नाटककेरूपमेंपरिवर्तितकरना; नाटकीयदृश्यबनाना	V
drape	पर्दालटकाना; ढकना; सुन्दरवस्त्रोंसेसजाना	V
draper	बजाज	N
drapery	बजाजी; कपड़ाबेचनेकाव्यवसाय	N
drapes	पर्दा{ब.}	N
drastic	प्रचंड; उदंड; शक्तिशाली	Adj
draught	घूँट; वायुकाझोंका; खुराक़	N
draughtsman	चित्रखींचनेवाला; लेखक	N
draw	चित्रबनाना; खींचना; [बाहर]निकालना; खींचकरनिकालना; आकर्षितकरना; निष्कर्षनिकालना; एकत्रितकरना; नम्बरयाकार्डयाटिकटउठाकरविजयीघोषितकरना; गहरीसाँसलेना	VI
draw	लाटरी; नम्बरनिकलना; ड्रॉ{प्रतियोगिताजिसकीहारजीतकानिर्णयनहो}; भीड़कोएकत्रितकरनेहेतुकार्ययाघटना; देरीसेकिसीवस्तुकोसमझपाना	N
draw up	खाका तैयार करना; आकर रुकना	PhrV
draw string	थैला आदि बँद करने की डोरी	N
draw-back	कमी	N
draw-bridge	खींच कर पुल को बँद करने वाला तख्ता	N
drawer	दराज; चैक लिखने वाला; चित्रकार	N
drawers	जाँघिया	N
drawing	चित्रकारी	N
drawing-board	ड्रॉइंगबोर्ड	N
drawing-pin	पिन	N
drawing room	बैठक	N
drawl	गुनगुनाते हुए बोल	N
drawl	गुनगुनाते हुए धीरे बोलना	V
drawn	मुर्झाया सा	Adj
dray	नीची ठेला गाड़ी	N
dread	भय; डर	N
dread	सेडरना	V
dreadful	भयावह; डरावना	Adj
dreadfully	भँयकर ढंग से	Adv
dreadlocks	कसकर बटे हुए बालों की लट	N
dream	स्वप्न	N
dreamless	स्वप्न रहित	Adj
dreamworld	सपनों का संसार	N
dream	स्वप्नदेखना	V
dreamer	स्वप्न देखने वाला	N
dream-land	सपनों का देश	N
dream-like	सपना सा	Adj
dreamy	स्वप्नवत; धुँधली सी; आराम दायक; हैरान करने लायक	Adj
dreamily	स्वप्नजैसा	Adv
dreary	मन्द-उदास	Adj
drearily	उदासीसे	Adv
dreariness	उदासी	N
dredge	नदी के तल से मिटटी खींचना-खींच कर निकालना; छिड़काना-फैलाना	V
dredger	खींचनिकालनेवालायंत्र	N
dregs	तलछट- गुँज; आखिरी दम तक; बेकार हिस्सा	N
drench	भिगोना; गीला करना	V
dress	लिबास	N
dress	कपड़ेपहनना; सजाना; पटटी करना; साफकरना; बढ़ा चढ़ा कर कहना	V
dress-rehearsal	असली शो के पूर्व अभ्यास	N
dressed	आभूषित; अलंकृत	Adj
dressage	घोड़े की सिखलाई; करतब दिखाना{घोड़ेका}	N
dresser	लकड़ीकीअल्मारी; शीशा लगी लकड़ी की मेज; मेकअप करने वाला	N
