ja	en	pos	common
僻む	ひがむ	v5m	1	to have a warped view; to be jaundiced; to be prejudiced; to feel that one has been unfairly treated; to be jealous; to be envious; to have an inferiority complex
僻遠	へきえん	adj-na, adj-no, n	0	remote; outlying
僻境	へききょう	n	0	deep rural areas
僻隅	へきぐう	n	0	corner; nook
僻見	へきけん	n	0	prejudice
僻言	へきげん	n	0	unreasonable talk
ひがみ根性	ひがみこんじょう	n	0	warped mind; jaundiced mind; paranoia
僻在	へきざい	n, vs	0	being off to one side; being away off in the country
僻事	ひがごと	n	0	immoral act; mistake
僻書	へきしょ	n	0	biased writing; biassed writing
ひがみ心	ひがみごころ	n	0	warped mind; jaundiced mind; paranoia
僻説	へきせつ	n	0	prejudiced opinion; illogical view
僻村	へきそん	n	0	remote village
僻地	へきち	n	0	remote place; backcountry; the sticks; hinterland
僻目	ひがめ	n	0	squint; sight error; bias; misunderstanding; misjudgment; misjudgement
僻邑	へきゆう	n	0	remote village
僻論	へきろん	n	0	prejudiced opinion
僻陬	へきすう	n	0	remote place
壁	かべ	n	1	wall; partition; barrier; obstacle; hindrance; difficulty; Chinese "Wall" constellation (one of the 28 mansions); wall (of stones)
壁の花	かべのはな	n	0	one too shy to actively join in the party; wallflower
壁画	へきが	n	1	fresco; mural; wall painting
壁掛け	かべかけ	n, adj-f	0	wall-mounted ornament; wall decoration; wall hanging; wall-mounted
壁紙	かべがみ	n	1	wallpaper; wallpaper; background image; desktop image
壁蝨	ダニ	n	0	tick (Acari spp.); mite; hoodlum; tough
癖	くせ	n	1	habit (usu. a bad one); tendency; peculiarity; idiosyncrasy; mannerism; quirk; crease; wrinkle
癖になる	クセになる	exp, v5r	0	to become a (bad) habit; to become a habitual practice; to become addictive; to grow on one; to become moreish
癖のある	くせのある	exp, adj-f	0	quirky; idiosyncratic
碧眼	へきがん	n	0	blue eyes
碧玉	へきぎょく	n	0	jasper
碧空	へきくう	n	0	blue sky; azure sky
碧山	へきざん	n	0	green mountains
碧水	へきすい	n	0	blue water; green water
別	べつ	n, adj-no, adj-na, n-suf	1	distinction; difference; discrimination; separate; different; another; extra; exception
分け隔て	わけへだて	n, vs, vt	0	distinction; favoritism; favouritism; discrimination
別して	べっして	adv	0	especially; particularly
別けて	わけて	adv	0	above all; especially; particularly; all the more
別に	べつに	adv	1	(not) particularly; (not) especially; (not) specially; separately; apart; additionally; extra
別れ	わかれ	n	1	parting (of people); separation; farewell; breakup
別れ別れ	わかれわかれ	adj-na, n	0	separate
別れ路	わかれじ	n	0	parting of the ways; the way to hades; one's way after the parting
別意	べつい	n	0	different opinion; different thought; another intention; regret at parting; sadness of parting
別院	べついん	n	1	branch temple
別宴	べつえん	n	0	farewell dinner
別家	べっけ	n, vs, vi	0	branch family; cadet family; setting up a branch family; leaving one's employer to set up a new shop with the same name; separate house
別科	べっか	n	0	special course; another course
別格	べっかく	adj-no, n	0	special; exceptional
別勘定	べつかんじょう	n	0	separate account
別巻	べっかん	n	0	separate volume; extra issue
別間	べつま	n	0	separate room; special room
別館	べっかん	n	1	annex (to a building); annexe; extension; supplementary building
別記	べっき	n, vs, vt	0	addendum; supplementary material; afterword; postscript; marginal notes
別儀	べつぎ	n	0	separate matter; different meaning; special reason; special circumstances
別居	べっきょ	n, vs, vi	1	separation; living separately; living apart
別業	べつぎょう	n	0	villa; another line of work
別形	べっけい	n	0	another form (of a character)
別件	べっけん	n, adj-no	0	separate case; another matter; different matter; another project
別言	べつげん	n, vs, vt	0	other words
別言すれば	べつげんすれば	exp	0	in other words
別個	べっこ	adj-no	1	another; different; separate; discrete
別戸	べっこ	n	0	separate house
別後	べつご	n, adv	0	since we parted
別口	べつくち	n, adj-no	0	different kind; another sort; separate item; another approach; different means; separate account (e.g. bank account)
別行	べつぎょう	n	0	another line
別項	べっこう	n, adj-no	0	special heading; separate paragraph
別号	べつごう	n	0	another name
別懇	べっこん	adj-na, n	0	intimacy
別冊	べっさつ	n	1	separate volume; extra issue; supplement; additional volume; supplementary volume
別仕立て	べつじたて	adj-no	0	specially tailored; tailor-made; specially arranged (train, plane, etc.)
別使	べっし	n	0	special messenger; another messenger
別紙	べっし	n	0	enclosure; annex; separate sheet; accompanying sheet; attached paper
別事	べつじ	n	0	another affair; mishap
別時	べつじ	n	0	another time; time of separation
別辞	べつじ	n	0	farewell address; parting words
別室	べっしつ	n	1	separate room; another room; special room; concubine (of a noble)
別種	べっしゅ	n, adj-no	0	another kind; different kind; distinct species
別趣	べっしゅ	n	0	deep interest
別除権	べつじょけん	n	0	right of exclusion
別称	べっしょう	n	0	another name; synonym; alias; pseudonym
別状	べつじょう	n	0	something unusual; something wrong; mishap; accident; serious condition (e.g. after an injury); different situation
別世界	べっせかい	n	0	another world
別製	べっせい	n	0	special make
別席	べっせき	n	0	another seat; different seat; special seat; another room; separate room
別染め	べつぞめ	n	0	special dyeing
別荘	べっそう	n	1	holiday house; vacation home; villa; prison; jail
別送	べっそう	n, vs, vt, adj-no	0	separate mail; separate shipment
別宅	べったく	n	0	secondary residence
別段	べつだん	adj-no, n, adv	0	particular; special; (not) particularly; (not) especially
別珍	べっちん	n	0	velveteen
別邸	べってい	n	0	secondary residence; vacation home; villa
別天地	べってんち	n	0	another world
別殿	べつでん	n	0	palace annex; shrine annex
別途	べっと	adj-no, adj-na, n, adv	1	separate; special; another; separately
別棟	べつむね	n	1	separate building; outbuilding; outhouse
別当	べっとう	n	0	groom; footman; stableman; equerry; steward; intendant; head of an institution, esp. religious; head of one institution serving also as the head of another
別堂	べつどう	n	0	separate building
別納	べつのう	n, vs	0	separate payment; separate delivery
別派	べっぱ	n	0	different sect; different party; different school
別配達	べつはいたつ	n	0	special delivery
別売り	べつうり	n	0	selling separately; not being included in the price
別表	べっぴょう	n	1	annexed (statistical) table
別封で	べっぷうで	exp	0	under separate cover
別物	べつもの	n	0	another thing; exception; special case
別便	べつびん	n	0	separate post; separate mail; separate cover
別報	べっぽう	n	0	another report
別法	べっぽう	n	0	different method
別なく	べつなく	n	0	irrespective (e.g. of age); without discrimination; without distinction
別問題	べつもんだい	n	1	different thing; another question; different case
別離	べつり	n, vs	0	parting; separation
別路	べつろ	n	0	different road
別誂え	べつあつらえ	n, vs	0	special order
蔑む	さげすむ	v5m, vt	1	to scorn; to despise; to hold in contempt; to look down on; to disdain
蔑ろ	ないがしろ	n, adj-na	0	(a) slight; disrespect; making light (of); neglect
蔑ろにする	ないがしろにする	exp, vs-i	0	to make light of; to ignore; to slight
蔑視	べっし	n, vs, vt	0	contempt; derision; slight; disdain
箆	へら	n	1	spatula; (fabric) tracing spatula; (pottery) pallet; (artificially cultured) Japanese crucian carp
偏	へん	n	0	left-hand radical of a character
偏に	ひとえに	adv	0	wholly (due to); entirely; solely; earnestly; intently; sincerely
偏り	かたより	n	1	deviation; inclination; offset; bias; prejudice; polarization; polarisation
偏り見る	かたよりみる	v1	0	to show partiality
偏愛	へんあい	n, vs, vt	0	favoritism; favouritism; partiality
偏狂	へんきょう	adj-na, n	0	monomania; monomaniac
偏狭	へんきょう	adj-na, n	1	narrow-mindedness; intolerance; illiberality; narrowness
偏見	へんけん	n	1	prejudice; bias; distorted view
偏光	へんこう	n	0	polarized light; polarised light; polarization (of light); polarisation
偏向	へんこう	n, vs, vi	1	propensity; tendency; inclination; deflection
偏向回路	へんこうかいろ	n	0	deflection circuit
偏向板	へんこうばん	n	0	deflection plate
偏好	へんこう	n	0	partiality (to something); liking
偏降り	かたぶり	n	0	rainy spell
偏差	へんさ	n	0	deflection; deviation; variation; declination; drift
偏在	へんざい	n, vs, vi	0	uneven distribution; unfair distribution; maldistribution
偏執	へんしゅう	n	0	bias; eccentricity; obstinacy
偏斜	へんしゃ	n	0	obliqueness; deviation; slantedness
偏重	へんちょう	n, vs, vt	1	attaching too much importance to; placing disproportionate emphasis on; making too much of
偏照り	へんでり	n	0	stretch of sunshine (after rain)
偏食	へんしょく	n, vs, vi	1	unbalanced diet
偏心	へんしん	n, adj-no	0	eccentricity (in mechanics, electronics, etc.)
偏針	へんしん	n	0	deflection
偏頗	へんぱ	adj-na, n	0	favoritism; favouritism; discrimination
偏性	へんせい	n, adj-no	0	eccentric personality
偏土	へんど	n	0	rural areas
偏癖	へんぺき	n	0	eccentricity; crankiness
偏片	かたはら	n	0	one of a pair; one side
片辺	かたほとり	n	0	corner; remote country place
偏流	へんりゅう	n	0	drift (of an airplane or boat, etc.); leeway; windage
変	へん	adj-na, n, n-pref	1	strange; odd; peculiar; weird; curious; eccentric; funny; suspicious
変える	かえる	v1, vt	1	to change; to alter; to transform; to convert; to turn; to vary; to reform; to revise
変じる	へんじる	v1, vi	0	to change into; to be transformed; to be transfigured; to transform; to alter; to convert
変ずる	へんずる	vz, vi, vt	0	to change into; to be transformed; to be transfigured; to transform; to alter; to convert
変に	へんに	adv	0	curiously; strangely
変わった	かわった	adj-f	1	unusual; abnormal; strange; odd; peculiar; weird; different
変わらない	かわらない	adj-i	1	constant; invariant
変わらぬ	かわらぬ	adj-f	0	constant; unchanging; unchanged; same; enduring
変わり	かわり	n	1	change; alteration; difference; distinction; something wrong; abnormality; unusual event; accident
変わりやすい	かわりやすい	adj-i	0	changeable; unsettled; inconstant; fickle (e.g. weather)
変わり果てる	かわりはてる	v1, vi	0	to be completely changed (for the worse); to be transformed
変わり者	かわりもの	n	0	eccentric; oddball; character; weirdo
変わり模様	かわりもよう	n	0	fancy pattern
変わり目	かわりめ	n	0	turning point; change; transition; turn (of the tide, century, etc.); point of difference
変わる	かわる	v5r, vi	1	to change; to be transformed; to be altered; to vary; to move to; to be different; to be uncommon; to be unusual
変ロ短調	へんロたんちょう	n	0	B flat minor
変圧	へんあつ	n, vs, vt, vi	0	transformation (of a current)
変圧器	へんあつき	n	0	transformer; converter (socket plug adapter)
変圧所	へんあつじょ	n	0	transformer substation
変位	へんい	n, vs, vi	0	change of position; displacement
変異	へんい	n, vs, vi	0	unusual occurrence; variation; mutation
変異体	へんいたい	n	0	mutant; variant
変移	へんい	n, vs, vi	1	change; alteration; transmutation; mutation
変域	へんいき	n	0	domain (of a function); range (of a function)
変化	へんか	n, vs, vi	1	change; variation; alteration; mutation; transition; transformation; variety; diversity
変化	へんげ	n, vs, vi	0	shapeshifting (of an animal or spirit); goblin; ghost; apparition; bugbear; incarnation; transformation
変化球	へんかきゅう	n	1	breaking ball (pitch); curve ball; screwball
変改	へんかい	n, vs, vt, vi	0	change; revision
変格	へんかく	n, adj-no	0	irregularity; irregular conjugation; translative
変革	へんかく	n, vs, vt, vi	1	change; transformation; reform; revolution; revolutionizing; innovation; upheaval
変換	へんかん	n, vs, vt	1	change; conversion; transformation; transformation
変換器	へんかんき	n	0	converter
変換子	へんかんし	n	0	pickup; sensing element
変形	へんけい	n, vs, vt, vi	1	transformation; variation; metamorphosis; modification; deformation; variety; deformity; monster
変形ゴマ	へんけいゴマ	n	0	arbitrary panel layout
変形虫類	へんけいちゅうるい	n	0	the amoeba
変幻	へんげん	n, vs, vi	0	transformation
変幻自在	へんげんじざい	adj-na, adj-no, n	0	phantasmagoric; protean; shape-shifting; kaleidoscopic; capable of ever-changing appearance
変光星	へんこうせい	n	0	variable star
変更	へんこう	n, vs, vt	1	change; modification; alteration; revision; amendment
変更不能	へんこうふのう	n, adj-no	0	unchangeable
変更履歴	へんこうりれき	n	0	change log; revision history
変災	へんさい	n	0	accident; disaster
変死	へんし	n, vs, vi	0	unnatural death; accidental death; violent death
変死者	へんししゃ	n	0	person who died an unnatural death; person accidentally killed
変事	へんじ	n	0	accident; emergency; calamity
変字	へんじ	n	0	conversion; converted character
変質	へんしつ	n, vs, vi	1	alteration (of character or essence); change in quality; transformation; deterioration; degeneration; transmutation; perversion (esp. sexual)
変質者	へんしつしゃ	n	0	degenerate; pervert; deviant
変種	へんしゅ	n	0	variant; variation; variety; mutation; freak; novelty; exception; (taxonomical) variety
変症	へんしょう	n, vs, vi	0	change in the nature of a disease; developing into (another disease); taking a turn (for the worse, etc.)
変色	へんしょく	n, vs, vi, adj-no	0	change of color; change of colour; fading; discoloration; discolouration
変心	へんしん	n, vs, vi	0	change of mind; inconstancy; apostasy
変身	へんしん	n, vs, vi	1	metamorphosis; disguise; transformation; shapeshifting; morphing
変人	へんじん	n	1	eccentric; crank; weirdo; oddball
変数	へんすう	n	0	variable
変性	へんせい	n, vs, vi	0	denaturation; degeneration
変成	へんせい	n, vs, vt, vi	0	metamorphosis
変成岩	へんせいがん	n	0	metamorphic rock
変声期	へんせいき	n	0	period when one's voice changes; (age of) puberty
変節	へんせつ	n, vs, vi	0	betrayal; defection; treachery; apostasy
変遷	へんせん	n, vs, vi	1	change; transition; vicissitudes
変奏曲	へんそうきょく	n	0	variation
変装	へんそう	n, vs, vi	0	disguise; masquerade
変造	へんぞう	n, vs, vt	1	alteration; defacement; debasement; falsification; forgery
変則	へんそく	n, adj-na, adj-no	1	irregularity; anomaly
変速	へんそく	n, vs, vi	0	shifting gears; changing gears
変速機	へんそくき	n	0	transmission; gearbox
変体	へんたい	n, adj-no	0	unusual form; different shape; variant (e.g. kanji, kana)
変体仮名	へんたいがな	n	0	non-standard kana; variant kana forms; hentaigana
変態	へんたい	n, vs, vi, adj-no	1	transformation; abnormality; sexual perversion; pervert; metamorphosis; transformation; transition; modification
変態心理	へんたいしんり	n	0	abnormal mentality
変態心理学	へんたいしんりがく	n	0	abnormal psychology
変態性欲	へんたいせいよく	n	0	abnormal sexuality; sexual perversion
変態的	へんたいてき	adj-na	0	abnormal
変調	へんちょう	n, vs, vt, vi	0	irregularity; abnormality; anomaly; change of tone; transposition; modulation
変調波	へんちょうは	n	0	wave modulation
変通	へんつう	n, vs	0	resourcefulness; adaptability
変哲もない	へんてつもない	exp, adj-i	0	ordinary; plain; commonplace; usual; normal
変電所	へんでんしょ	n	0	transformer substation
変動	へんどう	n, vs, vi	1	change; fluctuation
変拍子	へんびょうし	n	0	irregular time; irregular metre
変物	へんぶつ	n	0	eccentric person
変分学	へんぶんがく	n	0	calculus of variations
変法	へんぽう	n	0	law revision; revised law
変貌	へんぼう	n, vs, vi	1	transfiguration; transformation; change of appearance
変名	へんめい	n, vs, vt, vi	0	assumed name; alias
変容	へんよう	n, vs, vt, vi	1	change in appearance; transformation
変乱	へんらん	n, vs	0	disturbance; uprising; war
変流器	へんりゅうき	n	0	transformer
変量	へんりょう	n	0	variable; variate
変てこ	へんてこ	adj-na, n	0	strange; weird; odd; strange thing; strange person
変てこりん	へんてこりん	adj-na, n	0	strange; odd; queer; peculiar; weird
片っ端から	かたっぱしから	adv	0	absolutely every little bit; everything from A to Z; systematically; thoroughly; one after another; successively
片一方	かたいっぽう	n, adj-no	0	one side; one party; the other side; the other party; one (of a pair); the other (one); the mate; the fellow
片仮名	カタカナ	n	1	katakana; angular Japanese syllabary used primarily for loanwords
片隅	かたすみ	n	1	corner; nook
片栗粉	かたくりこ	n	0	potato starch; starch of dogtooth violet
片言	かたこと	n, adj-no	0	prattle; broken language; halting language; baby talk; imperfect speech; smattering
片言隻語	へんげんせきご	n	0	(not even) a few words
片持ち	かたもち	n	0	cantilever
片手	かたて	n, adj-no	1	one hand
片手間	かたてま	n	0	spare time; free time; leisure time
片手落ち	かたておち	adj-na, n	0	one-sided; partial; unfair
片側	かたがわ	n	1	one side
片袖机	かたそでづくえ	n	0	desk with a tier of drawers on one side
片端	かたはし	n	0	one edge; one end; one side
片田舎	かたいなか	n	0	back country; remote countryside
片道	かたみち	n, adj-no	1	one-way (trip); one-way ticket
片付く	かたづく	v5k, vi	1	to be put in order; to be put to rights; to be disposed of; to be solved; to be finished; to be married (off)
片付け	かたづけ	n	0	tidying up; finishing
片付ける	かたづける	v1, vt	1	to put in order; to tidy up; to clean up; to put away; to clear away; to settle (a matter); to solve; to deal with
片腹痛い	かたはらいたい	adj-i	0	ridiculous; absurd
片方	かたほう	n, adj-no	1	one side; one party; the other side; the other party; one (of a pair); the other (one); the mate; the fellow
片面	かためん	n, adj-no	0	one side
片目	かため	n	1	one eye; one of one's eyes; being blind in one eye; person who is blind in one eye
片鱗	へんりん	n	0	part; portion; glimpse; bit
片腕	かたうで	n, adj-no	0	one arm; one's right-hand man; one's right hand
編	へん	n, n-suf, ctr	1	compilation (of a text); editing; volume (of a text); completed literary work
網掛け	あみかけ	n	0	area fill (in printing); half-tone dot meshing
編み笠	あみがさ	n	0	braided hat
編み機	あみき	n	0	knitting machine
編み出す	あみだす	v5s, vt	0	to think up; to think out; to work out; to come up with; to devise; to invent; to knit (a pattern into a sweater, etc.); to start knitting
編み針	あみばり	n	0	knitting needle
編み棒	あみぼう	n	0	knitting needle
編み目	あみめ	n	0	stitch
編む	あむ	v5m, vt	1	to knit; to plait; to braid; to compile (anthology, dictionary, etc.); to edit
編笠茸	アミガサタケ	n	0	common morel (Morchella esculenta); yellow morel
編曲	へんきょく	n, vs, vt, vi	0	arrangement
編纂	へんさん	n, vs, vt	0	compilation (esp. dictionary, history, law code); editing
編集機能	へんしゅうきのう	n	0	editing capability; editor function
編集子	へんしゅうし	n	0	editorial-staff member
編集者	へんしゅうしゃ	n	1	editor (in publishing, etc.)
編集部	へんしゅうぶ	n	0	editorial department
編成	へんせい	n, vs, vt	1	composition; formation; organization; organisation; compilation
編隊	へんたい	n	0	formation (e.g. of aircraft)
編入	へんにゅう	n, vs, vt	1	admission; incorporation; enlistment; enrollment
辺	へん	n	1	area; vicinity; region; side; edge; circumstances
辺り	あたり	n, n-suf, adv	1	(in the) neighbourhood; neighborhood; vicinity; nearby; surroundings; around; about; or thereabouts
辺境	へんきょう	n, adj-no	1	remote region; outlying district; border district; frontier
辺地	へんち	n	1	remote place
辺鄙	へんぴ	adj-na, n	0	hard to reach place; remote place
返す	かえす	v5s, vt, suf	1	to return (something); to restore; to put back; to turn over; to turn upside down; to overturn; to pay back; to retaliate
返り咲く	かえりざく	v5k, vi	0	to come back; to bloom a second time
返る	かえる	v5r, vi, suf	1	to return; to come back; to go back; to turn over; to become extremely; to become completely
返歌	へんか	n	0	ode in reply
返還	へんかん	n, vs, vt	1	return; restoration
返却	へんきゃく	n, vs, vt	1	return (of something borrowed or entrusted); returning; giving back; repayment
返却値	へんきゃくち	n	0	return value
返金	へんきん	n, vs, vt, vi	1	refund; repayment; reimbursement
返済	へんさい	n, vs, vt	1	repayment; reimbursement; refund; redemption
返事	へんじ	n, vs, vi	1	reply; answer; response
返上	へんじょう	n, vs, vt	1	return; giving back; giving up; relinquishing; surrendering
返信	へんしん	n, vs, vt, vi	1	reply (e.g. email, fax, letter); answer
返信用の封筒	へんしんようのふうとう	n	0	self-addressed stamped envelope; SASE
返信用封筒	へんしんようふうとう	n	0	self-addressed stamped envelope; SASE
返信用葉書	へんしんようはがき	n	0	(postal) reply card; international reply coupon
返送	へんそう	n, vs, vt	1	sending back; return to sender
返答	へんとう	n, vs, vt, vi	1	reply; answer
返品	へんぴん	n, vs, vt, vi	1	returned goods; returning purchased goods
返報	へんぽう	n, vs, vi	0	revenge; retaliation; requital (for a kind act); return (of a favour); repayment; reply; answer
返礼	へんれい	n, vs, vi	0	return present; return gift; something done in return (as way of thanks); retaliation; revenge
遍在	へんざい	n, vs, vi	0	omnipresence; ubiquity
遍歴	へんれき	n, vs, vi	1	travels; pilgrimage; itinerancy; (accumulated) experiences; (personal) history
遍路	へんろ	n	0	pilgrimage; pilgrim
便	びん	n, n-suf	1	flight (e.g. airline flight); trip (e.g. train trip); sailing (e.g. ferry voyage); service; mail; post; letter; opportunity
便	べん	n, adj-na	0	convenience; service; facility; accommodation; excreta (esp. faeces); excrement; stool
便じる	べんじる	v1, vi	0	to satisfy; to answer the purpose; to make convenient
便ずる	べんずる	vz, vi	0	to satisfy; to answer the purpose; to make convenient
便り	たより	n, n-suf, vs, vt	1	news; tidings; information; correspondence; letter
便意	べんい	n	0	urge to defecate (or urinate); call of nature
便衣	べんい	n	0	everyday clothes (in China); ordinary clothes
便衣隊	べんいたい	n	0	plain-clothes soldiers (esp. of the Chinese Army during the Second Sino-Japanese War); mufti corps
便益	べんえき	n	0	convenience; benefit; profit
便管	べんかん	n	0	sewer pipe
便器	べんき	n	0	toilet bowl; urinal; chamber pot; bedpan
便宜	べんぎ	n	1	convenience; accommodation; advantage; benefit; expediency
便宜主義	べんぎしゅぎ	n	0	opportunism; expediency
便宜上	べんぎじょう	adv	0	for convenience; as a matter of convenience
便座	べんざ	n	0	toilet seat
便所	べんじょ	n	1	toilet; lavatory; water closet; restroom; bathroom
便乗	びんじょう	n, vs, vi	1	taking advantage of (an opportunity); jumping on the bandwagon; taking passage (in); getting a lift; getting a ride
便乗者	びんじょうしゃ	n	0	hitchhiker; one who catches a ride
便乗主義者	びんじょうしゅぎしゃ	n	0	opportunist
便船	びんせん	n, vs, vi	0	available ship; ship ready for boarding and departure; to board an available ship; to take a ship
便通	べんつう	n	0	bowel movement
便秘	べんぴ	n, vs, vi	1	constipation
便服	べんぷく	n	0	everyday clothes; ordinary clothes; casual wear
便法	べんぽう	n	0	convenient method; handy method; expedient; shortcut
便利	べんり	adj-na	1	convenient; handy; useful
便利さ	べんりさ	n	1	convenience; handiness; usefulness
便利屋	べんりや	n	0	handyman; utility man; odd-job man
便壺	べんつぼ	n	0	night-soil vault; clay pot used to collect feces in an outhouse
便箋	びんせん	n	1	writing paper; stationery; notepaper
勉学	べんがく	n, vs, vt, vi	1	study; pursuit of knowledge
勉強	べんきょう	n, vs, vt, vi	1	study; diligence; working hard; experience; knowledge; lesson (for the future); discount; price reduction
勉強家	べんきょうか	n	0	diligent student; studious person
勉強中	べんきょうちゅう	exp	1	while studying; presently studying
勉励	べんれい	n, vs, vi	0	diligence
弁	べん	n, n-suf	1	speech; tongue; talk; eloquence; dialect; brogue; accent; bento
弁える	わきまえる	v1, vt	1	to discern (e.g. right from wrong); to discriminate; to distinguish; to know (manners, one's place, etc.); to understand; to bear in mind
弁じる	べんじる	v1, vi	0	to speak; to talk; to argue; to manage; to dispose of; to carry through; to distinguish; to discriminate
弁じ立てる	べんじたてる	v1	0	to speak eloquently; to talk volubly
弁ずる	べんずる	vz	0	to manage; to dispose of; to carry through; to distinguish; to discriminate
弁解	べんかい	n, vs, vt	1	explanation (e.g. for one's actions); excuse; justification; defense; defence
弁慶	べんけい	n	1	strong person; person putting on a brave front; bamboo tube with holes drilled in it (used as a stand for kitchen utensils, fans, etc.); checks; plaid; checked pattern
弁慶の泣き所	べんけいのなきどころ	exp, n	0	Achilles heel; one's weak point; shin
弁慶蟹	べんけいがに	n	0	Sesarmops intermedium (species of grapsoid crab)
弁慶格子	べんけいごうし	n	0	checked pattern; plaid
弁慶縞	べんけいじま	n	0	checks; plaid; checked pattern
弁慶草	べんけいそう	n	0	orpine (any plant of family Crassulaceae, esp. the garden stonecrop, Hylotelephium erythrostictum)
弁護	べんご	n, vs, vt	1	defense; defence; pleading; advocacy
弁護依頼人	べんごいらいにん	n	0	(lawyer's) client
弁護士	べんごし	n	1	lawyer; attorney
弁護士会	べんごしかい	n	0	bar association
弁護者	べんごしゃ	n	0	proponent; defender; advocate
弁護人	べんごにん	n	1	counsel; defender; advocate
弁護団	べんごだん	n	0	team of lawyers; defense team; defence team; litigation team
弁護料	べんごりょう	n	0	lawyer's fee
弁口	べんこう	n	0	speech; manner of speaking
弁座	べんざ	n	0	valve seat
弁才	べんさい	n	0	eloquence; oratorical talent
弁済	べんさい	n, vs, vt	1	repayment; settlement (of a debt); paying off; reimbursement (of expenses)
弁財天	べんざいてん	n	0	Benzaiten; Saraswati; goddess of music, eloquence, art, wealth and water
弁士	べんし	n	0	lecturer; rhetorician; orator; narrator in Japanese silent cinema; film interpreter
弁者	べんしゃ	n	0	speaker; orator
弁償	べんしょう	n, vs, vt	1	compensation; indemnification; reparation; restitution; recompense
弁償金	べんしょうきん	n	0	reparation; indemnity; compensation; reimbursement
弁証	べんしょう	n, vs, vt	0	dialectic proof
弁証学	べんしょうがく	n	0	apologetics
弁証法	べんしょうほう	n	0	dialectic; dialectics
弁証論	べんしょうろん	n	0	apologetics; dialectics
弁舌	べんぜつ	n	1	speech; eloquence; manner of speaking; manner of expression
弁疏	べんそ	n, vs, vt	0	excuse; plea; defense; defence
弁当	べんとう	n	1	bento; Japanese box lunch
お弁当	おべんとう	n	1	bento; Japanese box lunch
弁当屋	べんとうや	n	0	lunch vendor
弁当箱	べんとうばこ	n	0	lunch box; bento box
弁難	べんなん	n, vs	0	denunciation; criticism
弁髪	べんぱつ	n	0	pigtail; queue; cue
弁別	べんべつ	n, vs, vt	0	distinguishing; distinction; discrimination; telling apart
弁膜	べんまく	n	0	valve (of the heart and the veins)
弁務官	べんむかん	n	1	commissioner
弁明	べんめい	n, vs, vt, adj-no	1	explanation; excuse; clarification; vindication; apology
弁理	べんり	n, vs, vt	0	management; disposition; handling
弁理士	べんりし	n	0	patent attorney; patent agent
弁論	べんろん	n, vs, vt, adj-no	1	discussion; debate; argument
弁論大会	べんろんたいかい	n	0	speech contest
弁鰓類	べんさいるい	n	0	lamellibranches (i.e. bivalves)
鞭撻	べんたつ	n, vs, vt	0	encouragement; urging; spurring on; chastising by whipping
保する	ほする	vs-s, vt	1	to guarantee
持ち合い	もちあい	n	1	unity; even matching; interdependence; steadiness (of market price); holding; no change
保つ	たもつ	v5t, vt, vi	1	to keep; to preserve; to hold; to retain; to maintain; to sustain; to last; to endure
保安	ほあん	n, adj-no	1	peace preservation; security; safety
保安要員	ほあんよういん	n	0	mine guards (during a strike)
保安林	ほあんりん	n	0	forest reserve
保育	ほいく	n, vs, vt	1	nurturing; rearing; childcare; day care
保育園	ほいくえん	n	1	nursery school; day nursery; day care center
保温	ほおん	n, vs, vi, vt	1	retaining warmth; keeping heat in; heat insulation
保管	ほかん	n, vs, vt	1	charge; custody; safekeeping; deposit; storage
保管会社	ほかんがいしゃ	n	0	safety-deposit company
保管金	ほかんきん	n	0	money on deposit
保管証	ほかんしょう	n	0	certificate of custody
保管人	ほかんにん	n	0	custodian; trustee
保管物	ほかんぶつ	n	0	goods in custody; property in trust
保管料	ほかんりょう	n	0	custody fee; storage charge
保管林	ほかんりん	n	0	managed forest
保菌者	ほきんしゃ	n	0	carrier (of a disease-causing agent)
保健	ほけん	n	1	preservation of health; hygiene; sanitation; health education (school subject)
保健医	ほけんい	n	0	school nurse
保健婦	ほけんふ	n	1	(female) public health nurse
保険	ほけん	n	1	insurance; guarantee; warranty
保険医	ほけんい	n	0	doctor who accepts patients covered by health insurance; doctor commissioned to examine an applicant for life insurance
保険会社	ほけんがいしゃ	n	0	insurance company
保険金	ほけんきん	n	1	insurance payout; insurance money
保険金受取人	ほけんきんうけとりにん	n	0	insurance beneficiary
保険証	ほけんしょう	n	0	insurance card
保険付き	ほけんつき	adj-no	0	guaranteed; under warranty; insured
保険料	ほけんりょう	n	0	insurance premium
保険料率	ほけんりょうりつ	n	0	insurance (premium) rate
保護	ほご	n, vs, vt	1	protection; safeguard; guardianship; custody; patronage; preservation; conservation
保護の聖人	ほごのせいじん	n	0	patron saint
保護委員	ほごいいん	n	0	rehabilitation; worker
保護観察	ほごかんさつ	n	0	probation
保護関税	ほごかんぜい	n	0	protective tariff
保護関税率	ほごかんぜいりつ	n	0	protective tariff
保護金	ほごきん	n	0	subsidy
保護検束	ほごけんそく	n	0	protective arrest
保護国	ほごこく	n	0	protectorate
保護司	ほごし	n	0	probation officer
保護者	ほごしゃ	n	1	guardian; protector; patron; parent
保護色	ほごしょく	n	0	protective coloration; protective colouration; camouflage
保護税	ほごぜい	n	0	protective duty
保護団体	ほごだんたい	n	0	conservation group
保護鳥	ほごちょう	n	0	protected bird
保護貿易	ほごぼうえき	n	0	protective trade
保護領	ほごりょう	n	0	protectorate
