ja	en	pos	common
うんざり		adv, adv-to, vs	1	tedious; boring; being fed up with
ウンチ		n, vs, vi	1	poo; poop; doo-doo; caca; whoopsie
鱝	えい	n	0	ray (any fish of superorder Batoidea)
ええ		int, adj-f	1	yes; that is correct; right; um; errr; well; huh?; grrr
えっと		int	1	let me see; well; errr ...; uhh ...
えげつない		adj-i	0	dirty; vulgar; nasty; offensive; disgusting
斉魚	えつ	n	0	Japanese grenadier anchovy (Coilia nasus)
お出でになる	おいでになる	exp, v5r	0	to be; to come; to go
おいでやす		exp	0	welcome (in shops, etc.)
おい		int, pn	1	hey!; say!; I say!; come on!; look!; oi!; I; me
おけさ		n	0	style of Japanese folk song associated with Niigata Prefecture
おけさ節	おけさぶし	n	0	style of Japanese folk song associated with Niigata Prefecture
おこしやす		int	0	welcome!
お座なりになる	おざなりになる	exp, v5r	0	to not be taken seriously
おしっこ		n, vs, vi	1	wee-wee; pee-pee; number one
おしゃぶり		n	0	teething ring; pacifier; dummy; blowjob
悍ましい	おぞましい	adj-i	0	appalling; horrifying; dreadful; hideous; revolting; disgusting
オタオタ		adv, adv-to, vs	0	flustered; flurried; (shocked) speechless
おちんちん		n	0	penis
おっかない		adj-i	0	frightening; scary; extreme; exaggerated; huge
落っこちる	おっこちる	v1, vi	0	to fall; to drop; to fail (an exam); to lose (a contest, election, etc.); to be unsuccessful
おっさん		n	1	middle-aged man; Buddhist priest
おっちょこちょい		n, adj-na, adj-no	0	careless person; scatterbrain; birdbrain; hasty person
おっぱい		n	1	boobs; boobies; breasts; tits; breast milk
御田	おでん	n	1	oden; dish of various ingredients, e.g. egg, daikon, potato, chikuwa, konnyaku stewed in soy-flavored dashi
オドオド		adv, adv-to, vs	1	timidly; nervously; hesitantly; trembling (with fear); fearfully; anxiously
お鍋	おなべ	n	0	pan; pot; transgender man (female-to-male); butch lesbian; female transvestite; maidservant; housemaid; night work
おなら		n	1	wind; gas; fart
おばこ		n	0	young girl; daughter; unmarried girl
おべっか		n	0	flattery
おべんちゃら		n	0	(excessive) flattery; smarminess; fawning
お負けに	おまけに	conj, exp	1	to make matters worse; besides; what's more; in addition; on top of that
お呪い	おまじない	n	0	charm; incantation; spell; curse; code that is not (yet) necessary to understand; required boilerplate code
おまんこ		n, vs	0	pussy; vulva; vagina; sex; fucking; screwing
お襁褓気触れ	おむつかぶれ	n	0	diaper rash; nappy rash
お粧し	おめかし	n, vs, vi	0	dressing up; putting on makeup; dolling (oneself) up
おめでとう御座います	おめでとうございます	exp	1	congratulations
おや		int	1	oh!; oh?; my!
おやおや		int	0	my goodness!; oh my!; oh dear!
おろおろ		adv, adv-to, vs	1	in confusion; in a fluster; in bewilderment; in a dither; in a panic; all shook up; helplessly; sobbing
おデブさん		n	0	chubby person
お握り	おにぎり	n	1	onigiri; rice ball (often triangular, sometimes with a filling and wrapped in nori)
お陰	おかげ	n	0	grace (of God); benevolence (of Buddha); blessing; assistance; help; aid; effects; influence
お陰様	おかげさま	n	0	(someone's) assistance; help; aid; kindness; goodwill; grace (of God); benevolence (of Buddha); blessing
お下げ	おさげ	n	0	wearing one's hair in braids
お化け	おばけ	n	1	ghost; apparition; goblin; monster; demon; something unusually large
お化け屋敷	おばけやしき	n	0	haunted house; spook house; haunted house (attraction); haunted attraction
お嫁さん	およめさん	n	0	wife
お菓子	おかし	n	1	confections; sweets; candy; cake
お願いします	おねがいします	exp	1	please
お願いいたします	おねがいいたします	exp	1	please
お帰りなさい	おかえりなさい	int	1	welcome home
お気の毒	おきのどく	exp, adj-na	0	I am sorry (to hear, to say, etc.); a pity
お客さん	おきゃくさん	n	0	guest; visitor; customer; client; shopper; spectator; audience; tourist
お客様	おきゃくさま	n	1	guest; visitor; customer; client; shopper; spectator; audience; tourist
お休みなさい	おやすみなさい	exp	1	good night
お宮	おみや	n	0	Shinto shrine
お宮参り	おみやまいり	n, vs	0	miyamairi; newborn child's first visit to a shrine (within about 30 days of being born); visiting a shrine
お供	おとも	n, vs	0	attendant; companion
お金	おかね	n	1	money
お兄さん	おにいさん	n	1	older brother; elder brother; young man; buddy; fella; laddie
お兄ちゃん	おにいちゃん	n	0	(one's) older brother; lad; sonny
お結び	おむすび	n	0	onigiri; rice ball
お見えになる	おみえになる	exp, v5r	0	to arrive; to come
お見舞い	おみまい	n, vs, vt	0	visit (to someone affected by illness or misfortune); call; inquiry (about someone's health); expression of sympathy; letter of inquiry; letter of sympathy; get-well letter; gift (in token of one's sympathy)
お古	おふる	n	0	used article (esp. clothes)
お好み焼き	おこのみやき	n	1	okonomiyaki; savoury pancake fried on an iron griddle with vegetables, meat and/or seafood and topped with various sauces and condiments
お構いなく	おかまいなく	exp	0	please don't fuss over me; don't go to any trouble; don't bother
お絞り	おしぼり	n	1	wet towel (supplied at table); hot, moistened hand towel
お札	おさつ	n	0	banknote; bill; note
お雑煮	おぞうに	n	0	soup containing rice cakes and vegetables (New Year's dish)
お三時	おさんじ	n	0	afternoon snack (eaten around 3 o'clock); afternoon tea
お参り	おまいり	n, vs, vi	1	visit (to a shrine, grave, etc.); worship
お産	おさん	n	1	(giving) birth; childbirth; delivery
お仕舞い	おしまい	n, int	1	the end; closing; being done for; that's it; that's enough; that's all
お使い	おつかい	n	1	errand; mission; going on an errand; messenger; bearer; errand boy; errand girl; familiar spirit
お姉さん	おねえさん	n	1	older sister; elder sister; young lady; miss; ma'am; older girl
お子さん	おこさん	n	0	child
お子様	おこさま	n	1	(another's) child; child; kid
お歯黒	おはぐろ	n	0	tooth blackening; tooth-blackening dye
お辞儀	おじぎ	n, vs, vi	1	bow; bowing
お七夜	おしちや	n	0	name-giving ceremony
お邪魔します	おじゃまします	exp	1	please excuse the intrusion; I'm coming in
お守り	おまもり	n	1	charm; amulet; talisman
お手玉	おてだま	n	0	beanbag; beanbag juggling game; bobbling the ball
お手上げ	おてあげ	n	1	being done for; giving up; being in a hopeless situation; not knowing what to do; being brought to one's knees; throwing up (one's) hands
お手盛り	おてもり	n	0	making arbitrary decisions which benefit oneself; self-approved plan
お手洗い	おてあらい	n	1	toilet; restroom; lavatory; bathroom
お手伝いさん	おてつだいさん	n	1	maid
お巡りさん	おまわりさん	n	1	police officer
お召し	おめし	n	0	summoning; calling; riding; wearing; dressing; clothing; (high-quality) silk crepe (fabric)
お召し物	おめしもの	n	0	clothing
お勧め	おすすめ	n, vs, vt, adj-no	0	recommendation; advice; suggestion; encouragement
お上りさん	おのぼりさん	n	0	countryside people (in town); visitor from the country; out-of-towner; country bumpkin (visiting the big city); yokel
お嬢さん	おじょうさん	n	1	(another's) daughter; young lady
お食い初め	おくいぞめ	n	0	okuizome; weaning ceremony; ritual meal for a 100-day old infant
お尻	おしり	n	0	bottom; buttocks; bidet function (for anal cleansing)
お寝小	おねしょ	n, vs, vi	0	bed-wetting
お新香	おしんこ	n	0	pickled vegetables; pickles
お浸し	おひたし	n	0	boiled greens in bonito-flavoured soy sauce (vegetable side dish)
お神酒	おみき	n	0	sacred wine; sacred sake; sake offered to the gods; sake
お尋ね者	おたずねもの	n	0	person sought by the police; wanted person; fugitive from justice
お世辞	おせじ	n	1	flattery; compliment
お世話になる	おせわになる	exp, v5r	1	to receive favor; to receive assistance; to receive help; to be looked after; to be taken care of; to become dependent (on); to become much obliged (to someone); to become indebted
お生憎様	おあいにくさま	int, adj-na	0	sorry; too bad (for you)!; tough luck!
お先に	おさきに	adv, exp	1	before; previously; ahead; pardon me for leaving (before you)
お前	おまえ	pn, n	1	you; before (a god, nobleman, etc.); in front of
お前さん	おまえさん	pn, n	0	you; hubby; dearie
お膳	おぜん	n	0	four-legged tray for festive food
お祖父さん	おじいさん	n	1	grandfather; male senior-citizen; old man
お祖母さん	おばあさん	n	1	grandmother; old woman; female senior citizen
お早うございます	おはようございます	int	1	good morning
お孫さん	おまごさん	n	0	grandchild
お待ちどおさま	おまちどおさま	exp	0	I'm sorry to have kept you waiting
お袋	おふくろ	n	1	(one's) mother
