校	exam; school; printing; proof	こう・きょう		N5	1	10
森	forest; woods	しん	もり	N2	1	12
刀	sword; saber; knife	とう	かたな・そり	N1	2	2
万	ten thousand; 10,000	まん・ばん	よろず	N5	2	3
丸	round; full (month); perfection; -ship	がん	まる・まる.める・まる.い	N2	2	3
工	craft; construction; katakana e radical (no. 48)	こう・く・ぐ		N4	2	3
弓	bow; bow (archery, violin)	きゅう	ゆみ	N1	2	3
才	genius; years old; cubic shaku	さい		N3	2	3
今	now	こん・きん	いま	N5	2	4
元	beginning; former time; origin	げん・がん	もと	N4	2	4
公	public; prince; official; governmental	こう・く	おおやけ	N4	2	4
内	inside; within; between; among	ない・だい	うち	N3	2	4
分	part; minute of time; segment; share	ぶん・ふん・ぶ	わ.ける・わ.け・わ.かれる・わ.かる・わ.かつ		2	4
切	cut; cutoff; be sharp	せつ・さい	き.る・-き.る・き.り・-き.り・-ぎ.り・き.れる・-き.れる・き.れ・-き.れ・-ぎ.れ	N4	2	4
午	noon; sign of the horse; 11am-1pm; seventh sign of chinese zodiac	ご	うま	N5	2	4
友	friend	ゆう	とも	N5	2	4
太	plump; thick; big around	たい・た	ふと.い・ふと.る	N3	2	4
少	few; little	しょう	すく.ない・すこ.し	N4	2	4
引	pull; tug; jerk; admit	いん	ひ.く・ひ.き・ひ.き-・-び.き・ひ.ける	N3	2	4
心	heart; mind; spirit; heart radical (no. 61)	しん	こころ・-ごころ	N4	2	4
戸	door; counter for houses; door radical (no. 63)	こ	と	N2	2	4
方	direction; person; alternative	ほう	かた・-かた・-がた	N4	2	4
止	stop; halt	し	と.まる・-ど.まり・と.める・-と.める・-ど.め・とど.める・とど.め・とど.まる・や.める・や.む・-や.む・よ.す・-さ.す・-さ.し	N4	2	4
毛	fur; hair; feather; down	もう	け	N2	2	4
父	father	ふ	ちち	N5	2	4
牛	cow	ぎゅう	うし	N4	2	4
兄	elder brother; big brother	けい・きょう	あに	N4	2	5
冬	winter	とう	ふゆ	N4	2	5
北	north	ほく	きた	N5	2	5
半	half; middle; odd number; semi-	はん	なか.ば	N5	2	5
古	old	こ	ふる.い・ふる-・-ふる.す	N4	2	5
台	pedestal; a stand; counter for machines and vehicles	だい・たい	うてな・われ・つかさ	N4	2	5
外	outside	がい・げ	そと・ほか・はず.す・はず.れる・と-	N5	2	5
市	market; city; town	し	いち	N3	2	5
広	wide; broad; spacious	こう	ひろ.い・ひろ.まる・ひろ.める・ひろ.がる・ひろ.げる	N4	2	5
母	mother	ぼ	はは・も	N5	2	5
用	utilize; business; service; use	よう	もち.いる	N4	2	5
矢	dart; arrow	し	や	N1	2	5
交	mingle; mixing; association; coming & going	こう	まじ.わる・まじ.える・ま.じる・まじ.る・ま.ざる・ま.ぜる・-か.う・か.わす・かわ.す・こもごも	N3	2	6
会	meeting; meet; party; association	かい・え	あ.う・あ.わせる・あつ.まる	N4	2	6
光	ray; light	こう	ひか.る・ひかり	N3	2	6
合	fit; suit; join; 0.1	ごう・がっ・かっ	あ.う・-あ.う・あ.い・あい-・-あ.い・-あい・あ.わす・あ.わせる・-あ.わせる	N3	2	6
同	same; agree; equal	どう	おな.じ	N4	2	6
回	-times; round; game; revolve	かい・え	まわ.る・-まわ.る・-まわ.り・まわ.す・-まわ.す・まわ.し-・-まわ.し・もとお.る・か.える	N3	2	6
地	ground; earth	ち・じ		N4	2	6
多	many; frequent; much	た	おお.い・まさ.に・まさ.る	N4	2	6
寺	buddhist temple	じ	てら	N2	2	6
当	hit; right; appropriate; himself	とう	あ.たる・あ.たり・あ.てる・あ.て・まさ.に・まさ.にべし	N3	2	6
毎	every	まい	ごと・-ごと.に	N5	2	6
池	pond; cistern; pool; reservoir	ち	いけ	N2	2	6
米	rice; usa; metre	べい・まい・めえとる	こめ・よね	N3	2	6
羽	feathers; counter for birds, rabbits	う	は・わ・はね	N2	2	6
考	consider; think over	こう	かんが.える・かんが.え	N4	2	6
肉	meat	にく	しし	N4	2	6
自	oneself	じ・し	みずか.ら・おの.ずから・おの.ずと	N4	2	6
色	color	しょく・しき	いろ	N4	2	6
行	going; journey; carry out; conduct	こう・ぎょう・あん	い.く・ゆ.く・-ゆ.き・-ゆき・-い.き・-いき・おこな.う・おこ.なう	N5	2	6
西	west; spain	せい・さい・す	にし	N5	2	6
体	body; substance; object; reality	たい・てい	からだ・かたち	N4	2	7
何	what	か	なに・なん・なに-・なん-	N5	2	7
作	make; production; prepare; build	さく・さ	つく.る・つく.り・-づく.り	N4	2	7
図	map; drawing; plan; extraordinary	ず・と	え・はか.る	N4	2	7
声	voice	せい・しょう	こえ・こわ-	N3	2	7
売	sell	ばい	う.る・う.れる	N4	2	7
弟	younger brother; faithful service to elders	てい・だい・で	おとうと	N4	2	7
形	shape; form; style	けい・ぎょう	かた・-がた・かたち・なり	N3	2	7
